presentations,recalls,presented_word_index,recall_word_index,recall_serial_pos
"['INFANT', 'BUTCHER', 'MONUMENT', 'CORPORATION', 'APE', 'IDOL', 'WITNESS', 'COURT', 'RAZOR', 'SCULPTURE', 'MULE', 'SADDLE', 'STAPLER', 'CHEMICAL', 'VAULT', 'SHEET']","['SHEET', 'CHEMICAL', 'WITNESS', 'BUTCHER', 'MONUMENT', 'INFANT', 'SCULPTURE']","[737, 203, 913, 382, 31, 733, 1618, 391, 1171, 1258, 931, 1221, 1372, 291, 1550, 1279]","[1279, 291, 1618, 203, 913, 737, 1258]","[15, 13, 6, 1, 2, 0, 9]"
"['ENGINEER', 'CASKET', 'FROST', 'FLEA', 'POSSUM', 'GERM', 'LINEN', 'KLEENEX', 'WATERFALL', 'REEF', 'VELVET', 'COYOTE', 'TERMINAL', 'WIDOW', 'CEILING', 'RUG']","['RUG', 'WIDOW', 'TERMINAL', 'CASKET']","[536, 255, 609, 577, 1112, 632, 825, 782, 1595, 1177, 1555, 396, 1450, 1608, 265, 1215]","[1215, 1608, 1450, 255]","[15, 13, 12, 1]"
"['SALESMAN', 'TECHNICIAN', 'CHISEL', 'SNEAKER', 'MOLECULE', 'BLUEPRINT', 'CABIN', 'ZEBRA', 'SHOVEL', 'STREAM', 'RANCH', 'CHEERLEADER', 'PUZZLE', 'PIER', 'BEER', 'BARTENDER']","['BEER', 'BARTENDER', 'CHISEL', 'BLUEPRINT', 'CABIN', 'TECHNICIAN', 'STREAM', 'MOLECULE']","[1225, 1443, 305, 1334, 905, 142, 211, 1635, 1295, 1392, 1166, 288, 1146, 1063, 114, 92]","[114, 92, 305, 142, 211, 1443, 1392, 905]","[14, 15, 2, 5, 6, 1, 9, 4]"
"['GAUZE', 'SCALPEL', 'CEMETERY', 'CIRCUS', 'CLERK', 'CRADLE', 'WHISKERS', 'GENTLEMAN', 'POOL', 'TIDE', 'KING', 'CELLAR', 'ASSISTANT', 'THRONE', 'MISTER', 'BALCONY']","['KING', 'THRONE', 'ASSISTANT', 'BALCONY', 'SCALPEL', 'GAUZE']","[626, 1243, 269, 311, 321, 399, 1605, 631, 1103, 1465, 777, 267, 48, 1461, 901, 72]","[777, 1461, 48, 72, 1243, 626]","[10, 13, 12, 15, 1, 16]"
"['BOOT', 'KEEPER', 'HALL', 'AIRPLANE', 'BEAN', 'BANANA', 'FRUIT', 'SCARF', 'PEOPLE', 'SKIN', 'CANVAS', 'STEWARDESS', 'LIME', 'GAVEL', 'GRILL', 'MEAL']","['AIRPLANE', 'STEWARDESS', 'MEAL', 'GRILL', 'SCARF', 'FRUIT', 'BANANA', 'LIME', 'TIDE', 'GAVEL']","[150, 769, 677, 12, 105, 77, 610, 1246, 1046, 1318, 234, 1381, 823, 627, 661, 882]","[12, 1381, 882, 661, 1246, 610, 77, 823, 1465, 627]","[3, 11, 15, 14, 7, 6, 5, 12, 9, 13]"
"['CLOTHES', 'CART', 'DONKEY', 'NECKLACE', 'GEM', 'CANDIDATE', 'UNIFORM', 'CERAMICS', 'SIRLOIN', 'PARTY', 'YARN', 'STRANGER', 'FELLOW', 'CLAY', 'TUBE', 'TRAY']","['CERAMICS', 'CLAY', 'TRAY', 'TUBE', 'SIRLOIN']","[327, 250, 484, 940, 629, 228, 1539, 271, 1311, 1018, 1631, 1389, 558, 320, 1516, 1498]","[271, 320, 1498, 1516, 1311]","[7, 13, 15, 14, 8]"
"['LIMB', 'CONDUCTOR', 'ROOF', 'TENT', 'CLOWN', 'PROFESSOR', 'RELATIVE', 'FARM', 'FARMER', 'KNEE', 'ROOMMATE', 'SURVEY', 'TREAT', 'LOLLIPOP', 'NOSE', 'STEREO']","['STEREO', 'ROOMMATE', 'LIMB', 'KNEE', 'CONDUCTOR', 'ASSISTANT', 'TENT', 'ROOF']","[822, 362, 1205, 1449, 330, 1131, 1182, 552, 553, 784, 1207, 1414, 1501, 842, 957, 1378]","[1378, 1207, 822, 784, 362, 48, 1449, 1205]","[15, 10, 16, 9, 1, 12, 3, 2]"
"['POPCORN', 'PEANUT', 'GLUE', 'GUM', 'PEBBLE', 'HEDGE', 'GRAVE', 'MUSHROOM', 'GRASSHOPPER', 'GODDESS', 'SIREN', 'BAND', 'VIOLIN', 'STAIRS', 'KIDNEY', 'FUNGUS']","['STAIRS', 'BAND', 'VIOLIN', 'KIDNEY', 'MUSHROOM', 'FUNGUS', 'GODDESS', 'SIREN', 'HEDGE', 'GRASSHOPPER', 'PARTY', 'BEAN']","[1104, 1032, 643, 672, 1035, 699, 658, 934, 656, 646, 1310, 78, 1571, 1367, 776, 614]","[1367, 78, 1571, 776, 934, 614, 646, 1310, 699, 656, 1018, 105]","[13, 11, 12, 14, 7, 15, 9, 10, 5, 8, 9, 4]"
"['ANCHOR', 'POLITICIAN', 'HATCHET', 'BROTHER', 'SALIVA', 'SQUIRREL', 'ANCESTOR', 'JAW', 'CARD', 'CASHEW', 'DICTIONARY', 'ALMANAC', 'MECHANIC', 'BUS', 'PANTS', 'LOOP']","['LOOP', 'MECHANIC', 'BUS']","[21, 1099, 691, 179, 1226, 1362, 20, 751, 243, 253, 463, 17, 884, 201, 1010, 844]","[844, 884, 201]","[15, 12, 13]"
"['GRASS', 'BASKET', 'EAR', 'SHRIMP', 'DRESSER', 'HOSE', 'ISLAND', 'SCREEN', 'DIRECTOR', 'EARRING', 'GOBLIN', 'COMET', 'PIPE', 'SEA', 'OATMEAL', 'SAUSAGE']","['GOBLIN', 'GOBLIN', 'ISLAND', 'SEA', 'OATMEAL', 'SAUSAGE', 'GRASS', 'BASKET', 'EAR', 'EARRING', 'DRESSER', 'DIRECTOR']","[655, 95, 513, 1297, 496, 720, 745, 1253, 471, 514, 645, 353, 1073, 1259, 967, 1238]","[645, 645, 745, 1259, 967, 1238, 655, 95, 513, 514, 496, 471]","[10, 10, 6, 13, 14, 15, 16, 1, 2, 9, 4, 8]"
